No;DATE;PM10;MPM10;NO;MNO;NO2;MNO2;NOX;MNOX;GRAD;MGRAD;TempAir;MTEMP;HUMAIR;MHUM;FF;MFF;DD;MDD;RAIN;MRAIN;SCODE
136;16/05/2017;53.93;  ;7.24;  ;19.03;  ;14.67;  ;98.84;  ;30.89;  ;69.88;  ;0.24;  ;117.32;  ;0;  ;HIJPR
137;17/05/2017;76.39;  ;8.53;  ;17.8;  ;15.03;  ;91.44;  ;30.92;  ;71.97;  ;0.45;  ;89.48;  ;0;  ;HIJPR
138;18/05/2017;55.83;  ;8.17;  ;18.6;  ;15.3;  ;72.77;  ;30.69;  ;71.13;  ;0.43;  ;98.06;  ;0;  ;HIJPR
139;19/05/2017;47.67;  ;8.55;  ;18.09;  ;15.19;  ;85.42;  ;30.87;  ;68.85;  ;0.44;  ;101.17;  ;0;  ;HIJPR
140;20/05/2017;69.07;  ;5.74;  ;17.59;  ;12.84;  ;103.81;  ;30.8;  ;68.08;  ;0.34;  ;102.28;  ;0;  ;HIJPR
141;21/05/2017;45.74;  ;5.21;  ;14.46;  ;10.92;  ;69.64;  ;30.24;  ;70.84;  ;0.27;  ;142.23;  ;0.1;  ;HIJPR
142;22/05/2017;39.83;  ;5.05;  ;12.67;  ;9.94;  ;81.6;  ;29.87;  ;73.51;  ;0.53;  ;74.11;  ;0.11;  ;HIJPR
143;23/05/2017;50.66;  ;8.39;  ;20.89;  ;16.51;  ;87.31;  ;30.45;  ;69.86;  ;0.4;  ;104.64;  ;0.01;  ;HIJPR
144;24/05/2017;74.39;  ;7.14;  ;17.65;  ;13.99;  ;73.35;  ;30.12;  ;70.81;  ;0.58;  ;67.89;  ;0.01;  ;HIJPR
145;25/05/2017;83.53;  ;3.37;  ;13.47;  ;9.07;  ;75.4;  ;30.12;  ;66.82;  ;0.48;  ;63.47;  ;0;  ;HIJPR
146;26/05/2017;57.07;  ;6.61;  ;21.75;  ;15.52;  ;93.9;  ;30.39;  ;66.33;  ;0.46;  ;184.89;  ;0;  ;HIJPR
147;27/05/2017;97.56;  ;4.44;  ;13.98;  ;10.12;  ;75.09;  ;30.69;  ;69.12;  ;0.61;  ;66.46;  ;0;  ;HIJPR
148;28/05/2017;56.34;  ;3.48;  ;8.45;  ;6.71;  ;54.35;  ;29.57;  ;74.43;  ;0.5;  ;104.16;  ;0;  ;HIJPR
149;29/05/2017;40.56;  ;10.36;  ;8.68;  ;11.96;  ;39.44;  ;27.07;  ;86.69;  ;0.82;  ;89.55;  ;0;  ;HIJPR
150;30/05/2017;60.42;  ;13.44;  ;9.02;  ;14.42;  ;69.25;  ;29.31;  ;76.64;  ;1.05;  ;117.34;  ;0;  ;HIJPR
151;31/05/2017;66.02;  ;10.97;  ;10.18;  ;13.15;  ;83.64;  ;30.22;  ;73.04;  ;1;  ;97.78;  ;0;  ;HIJPR
